address,spamcount,txcount
0xFD45917F99F8Fe5993233D46E9dF6c5BEA1342f4,1,1
0x64Efb9e173f91E1a35180b11141F3818Ff95D96B,1,1
0x3a6e7CD9eD293A43e4fB0D86a072EE2fABB95d9B,1,1
0xFFa83fb1D6F7fB0935F73Bc97eBe3a86223577a0,1,1
0x00000066bBD65b66dF2e7001322B216866138dde,1,1
0x0000008dC5F21722df102F31aB9DF193DA6732a7,1,1
0x000000cc74A2a210dfF073643d7913D940628d18,1,1
0x0000007545678230dF9599cE5c481022EeE34e84,1,1
0x000000b41475A237dfC685d74D86eAC5Db490286,1,1
0x000000c5388e210BdFEb54Ee03411f25B4b71aA6,1,1
0x00000082Df534f1DDf631F8c92a5b26221d9839a,1,1
0x0000006e9ec05E76dF5C48BbC98133e7a2455aC1,1,1
0x0000001c84c85d85dF5A6F7de5A7CD888f584FDC,1,1
0x0000008b5ac82C07DF3DbC312B73Eb3fF1117529,1,1
0x000000d8A4D81729dF8F8D56Ba2287C447F547D7,1,1
0x000000d774A7e36fdf27eba839Bd272effeFC5CC,1,1
0x000000f5c10A5320dFd8156CE67E7f012E8b41A3,1,1
0x000000dc89992235DFa0a538E9B3E2f2537c4C6c,1,1
0x0000006aF7556e63DFC5B67b87990530606213b4,1,1
0x000000c4D539252CDf69d2b6Ba595EFb5063c5E1,1,1
0x000000FF2839C36aDf6Ff5a07A364bec698A9383,1,1
0x0000006F87B5e741DF311542F8639f9fc5dF2602,1,1
0x000000d46ea23872dfBF888dEF84d1387aa8ba57,1,1
0x0000007b12a50968Df5385081048B40cBC5FAF22,1,1
0x0000003681347d42dF2fb2bb9109b81B771b48F9,1,1
0x0000007Ac692240adfD7dC3c2FE95B350e077496,1,1
0x000000138F202713DFbb83622d3a1A65b2374979,1,1
0x00000092010f7478DF770646876bB03f7e05bb31,1,1
0x000000D37E7Ca547df7B5FDa7a79049b1a576d18,1,1
0x000000645c300f5dDF2eeC2736cB84973fa55F50,1,1
0x000000aD97760B75dF2B79793A1c3558f51245C0,1,1
0x0000005C363dfc51dfD162344BEc06Fb0aaCd1da,1,1
0x00000031973dF22fDff8737e180B46779278A1fB,1,1
0x0000005532c55432Dfa58f0709e57DB03164C4D3,1,1
0x0000009184e2A267DFfFF715F1Ae4098c9438b73,1,1
0x000000cE651d3338dF40c9c95c41338f72Cd3Bb3,1,1
0x000000180Ea2245BDF7Be68a395DF8Ec95F61164,1,1
0x000000577845207fdFba8ffB1369d9A4C342B5dB,1,1
0x0000008ac821480ddF1f139717A3C16529F926f0,1,1
0x000000C1724FE23dDF7e382E0d91Cd391782d79f,1,1
0xfb8b2D295665A183511A199f13F7E2f53594012F,1,1
0xd1a147b626b381e982dF1309b307932CF1974C41,1,1
0x0000006E9448f21BdF4425c97673143F426ff663,1,1
0x000000f77eEbCa5FDF7307e57A1E191579Df38d7,1,1
0x94a1BD3c6745E1f385B24215eECd4944368f4D86,1,1
0xaE36DFC68EC70c5CCfE16C5a6A2739D7443C9253,1,1
0x1c4A2ad39B181e60eb7b8cBA37581B223ea94304,1,1
0x69A1cD64F06a07897d4ED001437218fA65d2e555,1,1
0x0fF1eFb8Aa061808550Cf245836F37475a4317FD,1,1
0x0000009d215dF65adf339D9a04eE72C362108b7d,1,1
0x4c839F34439355A6Ef7273146b40dB56fe802201,1,1
0x986a50e415fC284c36a22aB77dD7C7bA9CD00F7B,1,1
0x4769Ad67BCE2779D1374675069A3b78B8dAFBEA6,1,1
0x999B010E551725e2193F400b39133F74Fc4Ff675,1,1
0x4e3ebC74c882Ca05a9f7935d59a285C39E843Ed9,1,1
0x3Ab4C2A3D4CAaE59fB7343e2c75214E5ef580AD6,1,1
0x9F9518Ae8d4D26eA11a6B24ab71a25E3B382CFAf,1,1
0x42Add04C6BBF438B7137044727F854799d3E718A,1,1
0x0887BAdeB10c099e5096d108522287De44D145Cb,1,1
0xF84f973AB6560A76d28aA788B8AddeF615fE5601,1,1
0x5A1da353aD5a6ABb318E0D0abC643c691dE82AfB,1,1
0x124F58b41fD43a498fe7041bC2d9d5813c4f80D7,1,1
0xBC66c59896b4d8AC17d4816fF5bE153C1d1b72c2,1,1
0x186A979Fb4DD8F84b3B1c609E550e6E57dEC3569,1,1
0xd5144E4dB4Bfa54e3d59C9730162353B8B732930,1,1
0x56F0bDBDf48556ED41248021Fbc8027f69C41f27,1,1
0x8Cfb30892Cb744B9c9383187c1f77EFB516A8500,1,1
0x0144A0D4254dAf55C5F74cc36d38B1883713b3a6,1,1
0xb123A59C4E3Ff44E57B3113234Fa6EBe804e996D,1,1
0x6f7f4909d351fA348227fBfc4442785D328bc57d,1,1
0x4a1351523071Ed88d20aFD1D10CDa75D1B34F4e7,1,1
0x0f3c5696Da988aF27272a2eb3C2215eF2Cc4B45e,1,1
0xB655046DC8c1770B9d218B6791309aE77c8D8D19,1,1
0x000000291B346726dFBfC582850122439577f41d,1,1
0x000000235a8C1170df845F1D6fDa01F23c6AA070,1,1
0x6A34ff34ab02A1ac389eb6579048AEF573F0De81,1,1
0x67FdE56F95b85DD833FBa33f5FEe9b3679C0a56C,1,1
0xddaF206ede516b494d0B409fC106E44EE6870f91,1,1
0x3f171F72b8c629AcD21198490f8605F34c663BdF,1,1
0x00000027636DF17dDf9534c5767F112e9f6e53a0,1,1
0x8c3A0C76961D87C5B2ACEbB08636A98b16179a1f,1,1
0x95227df275141c9Bbf679F695668a838A31459fc,1,1
0xe61C1Ff8d64Ae03F07c9A64ac5b5b219F40eBDEf,1,1
0x1f8d4FED86F014166FedB2eE9d078BF9b9CD525a,1,1
0xC1bFBc44536200b02f92Aec4DEE08Ea390fa0535,1,1
0x752987AE84e7cea5BCB2d8Ac44a4b4887ECDf46D,1,1
0x1d9e3B7Bd5F49DebA51068AC79af7FD280140640,1,1
0x7b02d44d4FD72Cf0B8fE1911496dD9dC8a011C51,1,1
0x822CDCcCd57E2501356d0b20556F323f8d71d9Ca,1,1
0x0aA437d9Fc6AEaC913E4923BC1f8d223bDc09b45,1,1
0x3B268423C727Edc7420B02aDE0dDF84292c37DDf,1,1
0x0Ff4c51a937cBf3feB4614ffC8e7A155E68338bb,1,1
0x393Cd1D2275716496E9A6BAF1912A5Bb2294bDb0,1,1
0x70324Ac3630aDa5ace07d9DA4d3CfC842c4c90FE,1,1
0x4D17a537dCAA9f6fb7D609B2CA162e5068229c0a,1,1
0x7EaE37Cc0814E49ed1eAA63cAf8c67ddaFA05a83,1,1
0x58500F55aC86A3022703806a7415cAc321ccE2a1,1,1
0x50FD4f6b868Be3251721E1C041D836D1159062CF,1,1
0x5E4F7cE2607C39F4eC08355e2Ea48E50f6F77bFf,1,1
0x97e7bA1F2db224dAc7e0A812A071474E7C60819a,1,1
0x9a6F870a0417CeBC2E07d191aAf62D76a3F84C49,1,1
0xa6d95Ae0604eeB17991FD61207df33A8DD694dC0,1,1
0xdd3B6aE71FF420375Fefaa2448046a37beEeD800,1,1
0x2A7139e98f47c2fc65aec0DE9a3ADB8ffD46206A,1,1
0x32e467222cf793496e2D61c86494fAA6ba9f73d6,1,1
0x0000005790E4936bDf4513Fe2fE167318778920A,1,1
0xCB0211B8dE0F8cBf971EE0A71070F31A99f493eF,1,1
0x9aaed2471edf7c2207aA956ae0A4A1472cD1f9e1,1,1
0x82B1e33C6465A9bedEFD4aF8a2c1cfC1c874BFbE,1,1
0xffFfFeB539efF9fdF820B43ad7CCBF3bD7E36F5c,1,1
0x00000012267ec345dF53fe81E134d632b4Bc939A,1,1
0x000000a390e47818df802Bd48747214A42C6A63E,1,1
0x2e568937662b9378C386c2C92f64f01355CC3DA1,1,1
0x172b0D412be24F8AD98b89547DFB4995F57b44C3,1,1
0x4674D6690a250fe2ffCf05364Ceb33E51f3c9955,1,1
0x6371734C3DBCbf8e0b669138A6F1530C31fcd00F,1,1
0x8aD064077ec3c7CC38AE1eD6Fd9db83941F39339,1,1
0xEf84f5acE4713DcED835493Db875187294fa27a6,1,1
0x2d841393e3f7367bF3561D314746762De5f39A8B,1,1
0x3B1C348bbee4261CF1972Fe5214263b99904CE0B,1,1
0xfFFFBBFCccF87943942b1E65bc3eaDdE2C97Fa45,1,1
0x22625FaaDcC32B1Ab8d637Ac1Bafdaa3c99b41cC,1,1
0xfFFFf25dD84e1c5F85cdd3743457D4d964EBfdcf,1,1
0xa78a71d0dA5ec3E2549FBd99f7A66d1A78185259,1,1
0xaE09f5Bdd624241e70f47725b48042603cb841ac,1,1
0x43e4615C5dB15693dcbCd046D71ee5328C64d1fc,1,1
0xAB96D861E3886d5f098597677236DdF01533F559,1,1
0xa5f64c745A9E97A2614f616ce22D5ca9f488d242,1,1
0x08828d4dFb9c4b0Ef83d2581CeaBA3E54f54e5C2,1,1
0x92FB7c5287e66109C12da49cB151b0675f71B281,1,1
0x0D93428d1E2F1ba2b0F22cAB9292054E0a0C21B8,1,1
0xb312c22244D855b8c923B307403947c317bF507E,1,1
0xFFfFf4d5D0244270A6e3474011a80573893F2025,1,1
0x4Bd48ff587efC0A8a463902B24a4586588B81cE8,1,1
0xFfffBe2Cf8389A02661c71E036ED458CeeA4449C,1,1
0xFfFF3dC469322E47B2e7a29b4aa8b8aa011BE0B7,1,1
0xFFfFf821DA7fb6144A138344d9702b791A6c1ca6,1,1
0x3F6349708CB72750fFAF7F69fae94718b983de39,1,1
0x9B980821e15aC362a149D3E5942d590D5D5Aa8b0,1,1
0xeeaAd12e9C0B8841dD5a741074C677c1e2C13a4f,1,1
0xBb7D583DbdFb9A762aa5B2c88b381C82440eFd57,1,1
0xffffFc0C1EcdCFA7a60Aca63f5Bf0991A2BF588f,1,1
0x031f0ad4C95dBf6064F7d84223b343e298763404,1,1
0x32C1a30250b4DF8C459BFBD68C1c9105efF2Eb55,1,1
0x69b576069e650dFb7A8505205622f0D85b174973,1,1
0x0D040F9A330F7301FE39F787e559Ac43Ad6AF0E0,1,1
